Month,Stage,Opening Balance,Tuition & Fees,Living Expenses,Summer Earnings,Stipend / Reimbursement,Electives / Travel,CaRMS Fees,Exam / LMCC / Licensing,Residency / College Fee,Residency Repayment,Interest Added,Closing Balance
2030-07,Undergrad Year 4,94687.16,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,361.45,94548.61
2030-08,Undergrad Year 4,94548.61,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,360.93,94409.54
2030-09,MD Year 1,94409.54,24283.62,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.73,122634.88
2030-10,MD Year 1,122634.88,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.6,126606.49
2030-11,MD Year 1,126606.49,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.72,130577.21
2030-12,MD Year 1,130577.21,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.68,134578.88
2031-01,MD Year 1,134578.88,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.83,138595.71
2031-02,MD Year 1,138595.71,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.88,142575.59
2031-03,MD Year 1,142575.59,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.11,146622.7
2031-04,MD Year 1,146622.7,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.06,150666.76
2031-05,MD Year 1,150666.76,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.74,154744.5
2031-06,MD Year 1,154744.5,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.82,158818.32
2031-07,MD Year 1,158818.32,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.61,162926.92
2031-08,MD Year 1,162926.92,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.16,167051.09
2031-09,MD Year 2,167051.09,24183.62,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.52,195442.23
2031-10,MD Year 2,195442.23,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.28,199689.5
2031-11,MD Year 2,199689.5,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.5,203928.0
2031-12,MD Year 2,203928.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.41,208207.41
2032-01,MD Year 2,208207.41,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.61,212503.02
